color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,plot_keyword_1,plot_keyword_2,genre_1,genre_2,IMDB_Category
Color,Bryan Singer,434,169,0,0,Marlon Brando,18000,200069408,Kevin Spacey,Superman Returns ,240396,29991,Frank Langella,0.0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,English,United State of America,PG-13,209000000,2006,10000,6.1,2.35,0,crystal,epic,Action,Adventure,Class_2
Color,Marc Forster,403,106,395,0,Mathieu Amalric,451,168368427,Giancarlo Giannini,Quantum of Solace ,330784,2023,Rory Kinnear,1.0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,English,United Kingdom,PG-13,200000000,2008,412,6.7,2.35,0,action hero,attempted rape,Action,Adventure,Class_2
Color,Gore Verbinski,313,151,563,5000,Orlando Bloom,40000,423032628,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2.0,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,English,United State of America,PG-13,225000000,2006,5000,7.3,2.35,5000,box office hit,giant squid,Action,Adventure,Class_2
Color,Gore Verbinski,450,150,563,48000,Ruth Wilson,40000,89289910,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1.0,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,English,United State of America,PG-13,215000000,2013,2000,6.5,2.35,48000,horse,outlaw,Action,Adventure,Class_2
Color,Zack Snyder,733,143,0,118000,Christopher Meloni,15000,291021565,Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0.0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,English,United State of America,PG-13,225000000,2013,3000,7.2,2.35,118000,based on comic book,british actor playing american character,Action,Adventure,Class_2
Color,Andrew Adamson,258,150,80,0,Pierfrancesco Favino,22000,141614023,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4.0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,English,United State of America,PG,225000000,2008,216,6.6,2.35,0,brother brother relationship,brother sister relationship,Action,Adventure,Class_2
Color,Joss Whedon,703,173,0,123000,Robert Downey Jr.,26000,623279547,Chris Hemsworth,The Avengers ,995415,87697,Scarlett Johansson,3.0,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,United State of America,PG-13,220000000,2012,21000,8.1,1.85,123000,alien invasion,assassin,Action,Adventure,Class_1
Color,Rob Marshall,448,136,252,58000,Sam Claflin,40000,241063875,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4.0,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,English,United State of America,PG-13,250000000,2011,11000,6.7,2.35,58000,blackbeard,captain,Action,Adventure,Class_2
Color,Barry Sonnenfeld,451,106,188,40000,Michael Stuhlbarg,10000,179020854,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1.0,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,English,United State of America,PG-13,225000000,2012,816,6.8,1.85,40000,alien,criminal,Action,Adventure,Class_2
Color,Peter Jackson,422,164,0,65000,Adam Brown,5000,255108370,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228,9152,James Nesbitt,0.0,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,English,New Zealand,PG-13,250000000,2014,972,7.5,2.35,65000,army,elf,Adventure,Fantasy,Class_2
Color,Marc Webb,599,153,464,56000,Andrew Garfield,15000,262030663,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0.0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English,United State of America,PG-13,230000000,2012,10000,7.0,2.35,56000,lizard,outcast,Action,Adventure,Class_2
Color,Ridley Scott,343,156,0,17000,William Hurt,891,105219735,Mark Addy,Robin Hood ,211765,3244,Scott Grimes,0.0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,English,United State of America,PG-13,200000000,2010,882,6.7,2.35,17000,1190s,archer,Action,Adventure,Class_2
Color,Peter Jackson,509,186,0,83000,Adam Brown,5000,258355354,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,9152,James Nesbitt,6.0,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,English,United State of America,PG-13,225000000,2013,972,7.9,2.35,83000,dwarf,elf,Adventure,Fantasy,Class_1
Color,Chris Weitz,251,113,129,0,Eva Green,16000,70083519,Christopher Lee,The Golden Compass ,149019,24106,Kristin Scott Thomas,2.0,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,English,United State of America,PG-13,180000000,2007,6000,6.1,2.35,0,children,epic,Adventure,Family,Class_2
Color,Peter Jackson,446,201,0,0,Thomas Kretschmann,6000,218051260,Naomi Watts,King Kong ,316018,7123,Evan Parke,0.0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,PG-13,207000000,2005,919,7.2,2.35,0,animal name in title,ape abducts a woman,Action,Adventure,Class_2
Color,James Cameron,315,194,0,26000,Kate Winslet,29000,658672302,Leonardo DiCaprio,Titanic ,793059,45223,Gloria Stuart,0.0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,English,United State of America,PG-13,200000000,1997,14000,7.7,2.35,26000,artist,love,Drama,Romance,Class_2
Color,Anthony Russo,516,147,94,72000,Scarlett Johansson,21000,407197282,Robert Downey Jr.,Captain America: Civil War ,272670,64798,Chris Evans,0.0,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,United State of America,PG-13,250000000,2016,19000,8.2,2.35,72000,based on comic book,knife,Action,Adventure,Class_1
Color,Peter Berg,377,131,532,44000,Alexander Skarsgård,14000,65173160,Liam Neeson,Battleship ,202382,26679,Tadanobu Asano,0.0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English,United State of America,PG-13,209000000,2012,10000,5.9,2.35,44000,box office flop,hawaii,Action,Adventure,Class_2
Color,Colin Trevorrow,644,124,365,150000,Judy Greer,3000,652177271,Bryce Dallas Howard,Jurassic World ,418214,8458,Omar Sy,0.0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,English,United State of America,PG-13,150000000,2015,2000,7.0,2.0,150000,dinosaur,disaster film,Action,Adventure,Class_2
Color,Sam Mendes,750,143,0,80000,Helen McCrory,883,304360277,Albert Finney,Skyfall ,522030,2039,Rory Kinnear,0.0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English,United Kingdom,PG-13,200000000,2012,563,7.8,2.35,80000,brawl,childhood home,Action,Adventure,Class_1
Color,Sam Raimi,300,135,0,0,James Franco,24000,373377893,J.K. Simmons,Spider-Man 2 ,411164,43388,Kirsten Dunst,1.0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,English,United State of America,PG-13,200000000,2004,11000,7.3,2.35,0,death,doctor,Action,Adventure,Class_2
Color,Shane Black,608,195,1000,95000,Jon Favreau,21000,408992272,Robert Downey Jr.,Iron Man 3 ,557489,30426,Don Cheadle,3.0,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,United State of America,PG-13,200000000,2013,4000,7.2,2.35,95000,armor,explosion,Action,Adventure,Class_2
Color,Tim Burton,451,108,13000,24000,Alan Rickman,40000,334185206,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,0.0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,United State of America,PG,200000000,2010,25000,6.5,1.85,24000,alice in wonderland,mistaking reality for dream,Adventure,Family,Class_2
Color,Brett Ratner,334,104,420,0,Kelsey Grammer,20000,234360014,Hugh Jackman,X-Men: The Last Stand ,383427,21714,Daniel Cudmore,0.0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,English,Canada,PG-13,210000000,2006,808,6.8,2.35,0,battle,mutant,Action,Adventure,Class_2
Color,Dan Scanlon,376,104,37,44000,Tyler Labine,12000,268488329,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0.0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English,United State of America,G,200000000,2013,779,7.3,1.85,44000,cheating,fraternity,Adventure,Animation,Class_2
Color,Michael Bay,366,150,0,0,Kevin Dunn,894,402076689,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,Ramon Rodriguez,0.0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English,United State of America,PG-13,200000000,2009,581,6.0,2.35,0,autobot,decepticon,Action,Adventure,Class_2
Color,Michael Bay,378,165,0,56000,Sophia Myles,974,245428137,Bingbing Li,Transformers: Age of Extinction ,242420,3988,Kelsey Grammer,2.0,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,English,United State of America,PG-13,210000000,2014,956,5.7,2.35,56000,blockbuster,bumblebee the character,Action,Adventure,Class_2
Color,Sam Raimi,525,130,0,60000,Mila Kunis,44000,234903076,Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4.0,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,United State of America,PG,215000000,2013,15000,6.4,2.35,60000,circus,magic,Adventure,Family,Class_2
Color,Marc Webb,495,142,464,41000,Andrew Garfield,15000,202853933,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0.0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,English,United State of America,PG-13,200000000,2014,10000,6.7,2.35,41000,costumed hero,death of girlfriend,Action,Adventure,Class_2
Color,Joseph Kosinski,469,125,364,30000,Olivia Wilde,12000,172051787,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0.0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,United State of America,PG,170000000,2010,10000,6.8,2.35,30000,arcade,bridge,Action,Adventure,Class_2
Color,John Lasseter,304,106,487,10000,Thomas Kretschmann,1000,191450875,Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0.0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English,United State of America,G,200000000,2011,919,6.3,2.35,10000,best friend,car race,Adventure,Animation,Class_2
Color,Martin Campbell,436,123,258,24000,Temuera Morrison,16000,116593191,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2.0,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,United State of America,PG-13,200000000,2011,368,5.6,2.35,24000,autopsy,lantern,Action,Adventure,Class_2
Color,Lee Unkrich,453,103,125,30000,John Ratzenberger,15000,414984497,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3.0,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English,United State of America,G,200000000,2010,1000,8.3,1.85,30000,college,day care,Adventure,Animation,Class_1
Color,McG,422,118,368,0,Bryce Dallas Howard,23000,125320003,Christian Bale,Terminator Salvation ,286095,27468,Common,0.0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,English,United State of America,PG-13,200000000,2009,3000,6.6,2.35,0,death row,future,Action,Adventure,Class_2
Color,James Wan,424,140,0,94000,Paul Walker,26000,350034110,Jason Statham,Furious 7 ,278232,79150,Vin Diesel,0.0,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English,United State of America,PG-13,190000000,2015,23000,7.2,2.35,94000,car falling off a cliff,hospital,Action,Crime,Class_2
Color,Marc Forster,654,123,395,129000,Brad Pitt,17000,202351611,Peter Capaldi,World War Z ,465019,32392,Mireille Enos,0.0,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,United State of America,PG-13,190000000,2013,11000,7.0,2.35,129000,chaos,disease,Action,Adventure,Class_2
Color,Bryan Singer,539,149,0,82000,Peter Dinklage,34000,233914986,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,7.0,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English,United State of America,PG-13,200000000,2014,22000,8.0,2.35,82000,dystopia,super strength,Action,Adventure,Class_1
Color,J.J. Abrams,590,132,14000,92000,Bruce Greenwood,19000,228756232,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0.0,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,United State of America,PG-13,190000000,2013,981,7.8,2.35,92000,admiral,captain,Action,Adventure,Class_1
Color,Bryan Singer,338,114,0,22000,Ewen Bremner,979,65171860,Eddie Marsan,Jack the Giant Slayer ,106416,1766,Ralph Brown,1.0,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English,United State of America,PG-13,195000000,2013,557,6.3,2.35,22000,bean,giant,Adventure,Fantasy,Class_2
Color,Baz Luhrmann,490,143,1000,115000,Elizabeth Debicki,29000,144812796,Leonardo DiCaprio,The Great Gatsby ,362912,29770,Steve Bisley,4.0,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English,Australia,PG-13,105000000,2013,509,7.3,2.35,115000,ingratitude,mansion,Drama,Romance,Class_2
Color,Mike Newell,306,116,179,23000,Richard Coyle,15000,90755643,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,Reece Ritchie,2.0,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English,United State of America,PG-13,200000000,2010,567,6.6,2.35,23000,alamut,dagger,Action,Adventure,Class_2
Color,Guillermo del Toro,575,131,0,83000,Clifton Collins Jr.,16000,101785482,Charlie Hunnam,Pacific Rim ,381148,19166,Larry Joe Campbell,0.0,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English,United State of America,PG-13,190000000,2013,968,7.0,1.85,83000,giant monster,kaiju,Action,Adventure,Class_2
Color,Michael Bay,428,154,0,46000,Lester Speight,894,352358779,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,2.0,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English,United State of America,PG-13,195000000,2011,829,6.3,2.35,46000,autobot,decepticon,Action,Adventure,Class_2
Color,Steven Spielberg,470,122,14000,5000,Ray Winstone,11000,317011114,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2.0,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,United State of America,PG-13,185000000,2008,1000,6.2,2.35,5000,cult figure,femme fatale,Action,Adventure,Class_2
Color,Mark Andrews,488,93,56,39000,John Ratzenberger,2000,237282182,Kelly Macdonald,Brave ,273556,5005,Julie Walters,0.0,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,United State of America,PG,185000000,2012,1000,7.2,2.35,39000,archery,coming of age,Adventure,Animation,Class_2
Color,Justin Lin,322,122,681,30000,Melissa Roxburgh,998,130468626,Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4.0,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,United State of America,PG-13,185000000,2016,119,7.5,2.35,30000,hatred,sequel,Action,Adventure,Class_2
Color,Andrew Stanton,421,98,475,16000,Fred Willard,1000,223806889,John Ratzenberger,WALL·E ,718837,2975,Jeff Garlin,0.0,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,English,United State of America,G,180000000,2008,729,8.4,2.35,16000,earth,obesity,Adventure,Animation,Class_1
Color,Brett Ratner,162,91,420,0,Dana Ivey,268,140080850,Tzi Ma,Rush Hour 3 ,121084,1125,Noémie Lenoir,2.0,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,United State of America,PG-13,140000000,2007,268,6.2,2.35,0,ambassador,assassination,Action,Comedy,Class_2
Color,Roland Emmerich,367,158,776,13000,Liam James,1000,166112167,Oliver Platt,2012 ,283418,2144,Tom McCarthy,0.0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English,United State of America,PG-13,200000000,2009,468,5.8,2.35,13000,ark,catastrophe,Action,Adventure,Class_2
Color,Robert Zemeckis,240,96,0,0,Colin Firth,18000,137850096,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0.0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,United State of America,PG,200000000,2009,14000,6.8,2.35,0,charles dickens,christmas,Animation,Drama,Class_2
Color,Lana Wachowski,384,127,0,44000,Mila Kunis,17000,47375327,Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1.0,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,United State of America,PG-13,176000000,2015,15000,5.4,2.35,44000,box office flop,critically bashed,Action,Adventure,Class_3
Color,David Yates,248,110,282,29000,Alexander Skarsgård,11000,124051759,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2.0,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,United State of America,PG-13,180000000,2016,10000,6.6,2.35,29000,africa,capture,Action,Adventure,Class_2
Color,Andrew Adamson,284,150,80,0,Kiran Shah,1000,291709845,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,Shane Rangi,5.0,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,English,United State of America,PG,180000000,2005,190,6.9,2.35,0,hide and seek,lion,Adventure,Family,Class_2
Color,Bryan Singer,396,144,0,54000,Michael Fassbender,34000,154985087,Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,Tye Sheridan,6.0,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,United State of America,PG-13,178000000,2016,13000,7.3,2.35,54000,mutant,superhero,Action,Adventure,Class_2
Color,Christopher Nolan,645,152,22000,37000,Heath Ledger,23000,533316061,Christian Bale,The Dark Knight ,1676169,57802,Morgan Freeman,0.0,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,English,United State of America,PG-13,185000000,2008,13000,9.0,2.35,37000,based on comic book,dc comics,Action,Crime,Class_1
Color,Pete Docter,408,96,0,27000,Delroy Lindo,1000,292979556,John Ratzenberger,Up ,665575,2635,Jess Harnell,1.0,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,English,United State of America,PG,175000000,2009,848,8.3,1.85,27000,balloon,house,Adventure,Animation,Class_1
Color,Rob Letterman,219,94,11,0,Rainn Wilson,1000,198332128,Amy Poehler,Monsters vs. Aliens ,114553,2579,Stephen Colbert,2.0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,English,United State of America,PG,175000000,2009,973,6.5,2.35,0,alien,alien invasion,Action,Adventure,Class_2
Color,Jon Favreau,486,126,4000,10000,Jeff Bridges,21000,318298180,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3.0,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English,United State of America,PG-13,140000000,2008,12000,7.9,2.35,10000,afghanistan,billionaire,Action,Adventure,Class_1
Color,Martin Scorsese,682,126,17000,42000,Christopher Lee,17000,73820094,Chloë Grace Moretz,Hugo ,245333,36017,Ray Winstone,0.0,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,English,United State of America,PG,170000000,2011,16000,7.5,1.85,42000,automaton,mechanical,Adventure,Drama,Class_2
Color,Barry Sonnenfeld,85,106,188,0,Salma Hayek,10000,113745408,Will Smith,Wild Wild West ,129601,15870,Bai Ling,2.0,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English,United State of America,PG-13,170000000,1999,4000,4.8,1.85,0,buddy movie,general,Action,Comedy,Class_3
Color,Rob Cohen,264,112,357,0,Brendan Fraser,5000,102176165,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,Russell Wong,2.0,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,English,United State of America,PG-13,145000000,2008,3000,5.2,2.35,0,army,china,Action,Adventure,Class_3
Color,David Ayer,418,123,452,80000,Robin Atkin Downes,10000,161087183,Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,8.0,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,United State of America,PG-13,175000000,2016,336,6.9,2.35,80000,based on comic book,critically bashed,Action,Adventure,Class_2
Color,Tom Shadyac,186,96,293,2000,Morgan Freeman,87000,100289690,Jimmy Bennett,Evan Almighty ,115099,108016,Steve Carell,0.0,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,English,United State of America,PG,175000000,2007,11000,5.4,2.35,2000,ark,change,Comedy,Family,Class_3
Color,Doug Liman,585,113,218,77000,Lara Pulver,10000,100189501,Tom Cruise,Edge of Tomorrow ,431620,12652,Noah Taylor,1.0,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English,United State of America,PG-13,178000000,2014,854,7.9,2.35,77000,alien,combat,Action,Adventure,Class_1
Color,Kevin Reynolds,91,176,58,0,Rick Aviles,711,88246220,Jeanne Tripplehorn,Waterworld ,144337,1004,Zakes Mokae,0.0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,English,United State of America,PG-13,175000000,1995,60,6.1,1.85,0,future,sail,Action,Adventure,Class_2
Color,Stephen Sommers,250,118,208,0,Dennis Quaid,23000,150167630,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,Leo Howard,4.0,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English,United State of America,PG-13,175000000,2009,2000,5.8,2.35,0,cobra,gi joe,Action,Adventure,Class_2
Color,Pete Docter,536,95,0,118000,Mindy Kaling,1000,356454367,Amy Poehler,Inside Out ,345198,2944,Phyllis Smith,1.0,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English,United State of America,PG,175000000,2015,767,8.3,1.85,118000,anger,joy,Adventure,Animation,Class_1
Color,Jon Favreau,370,106,4000,65000,Bill Murray,19000,362645141,Scarlett Johansson,The Jungle Book ,106072,32921,Garry Shandling,0.0,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,United Kingdom,PG,175000000,2016,13000,7.8,1.85,65000,fire,jungle,Adventure,Drama,Class_1
Color,Jon Favreau,453,124,4000,18000,Scarlett Johansson,21000,312057433,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4.0,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English,United State of America,PG-13,200000000,2010,19000,7.0,2.35,18000,hammer,military,Action,Adventure,Class_2
Color,Rupert Sanders,416,132,274,53000,Kristen Stewart,26000,155111815,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0.0,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,English,United State of America,PG-13,170000000,2012,17000,6.1,2.35,53000,evil queen,fairy tale,Action,Adventure,Class_2
Color,Robert Stromberg,401,97,171,89000,Sharlto Copley,11000,241407328,Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2.0,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English,United State of America,PG,180000000,2014,2000,7.0,2.35,89000,curse,dark fantasy,Action,Adventure,Class_2
Color,Matt Reeves,521,130,198,45000,Judy Greer,10000,208543795,Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,Kodi Smit-McPhee,0.0,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,English,United State of America,PG-13,170000000,2014,2000,7.6,1.85,45000,ape,dam,Action,Adventure,Class_2
